Serial	Date Time	ref(uF)	(uF)	(uF)	(uF)	(uF)	(uF)	(C)
          	22/12/2020 08:09:18	0,00	24,66	24,55	24,55	0,00	0,00	+25
          	22/12/2020 08:10:12	0,00	24,58	24,66	24,50	0	0	+26
          	22/12/2020 08:10:48	0,00	24,63	24,69	24,60	0	0	+26
          	22/12/2020 08:11:24	0,00	24,71	24,76	24,64	0	0	+27
          	22/12/2020 08:12:20	0,00	24,43	24,50	24,31	0	0	+27
          	22/12/2020 08:12:57	0,00	24,45	24,51	24,48	0	0	+27
          	22/12/2020 08:13:29	0,00	24,74	24,78	24,70	0	0	+27
          	22/12/2020 08:14:00	0,00	24,41	24,47	24,40	0	0	+28
          	22/12/2020 08:14:42	0,00	24,86	24,76	24,89	0	0	+28
          	22/12/2020 08:15:18	0,00	24,74	24,75	24,92	0	0	+28
          	22/12/2020 08:17:10	0,00	24,51	24,60	24,54	0	0	+29
          	22/12/2020 08:18:57	0,00	24,45	24,56	24,56	0	0	+29
          	22/12/2020 08:19:33	0,00	24,42	24,45	24,31	0	0	+29
          	22/12/2020 08:20:34	0,00	24,49	24,58	24,53	0	0	+29
          	22/12/2020 08:21:08	0,00	24,37	24,34	24,35	0	0	+30
          	22/12/2020 08:22:06	0,00	24,46	24,47	24,48	0	0	+30
          	22/12/2020 08:22:51	0,00	24,51	24,48	24,48	0	0	+30
          	22/12/2020 08:23:31	0,00	24,83	24,72	24,89	0	0	+30
          	22/12/2020 08:24:49	0,00	24,70	24,86	24,79	0	0	+30
          	22/12/2020 08:25:33	0,00	24,81	24,80	24,76	0	0	+30
          	22/12/2020 08:26:14	0,00	24,44	24,41	24,36	0	0	+30
          	22/12/2020 08:27:02	0,00	24,56	24,45	24,53	0	0	+30
          	22/12/2020 08:27:36	0,00	24,61	24,71	24,63	0	0	+30
          	22/12/2020 08:28:21	0,00	24,71	24,62	24,58	0	0	+30
          	22/12/2020 08:29:02	0,00	24,50	24,56	24,69	0	0	+30
          	22/12/2020 08:29:52	0,00	24,63	24,58	24,50	0	0	+30
          	22/12/2020 08:30:34	0,00	24,37	24,41	24,42	0	0	+30
          	22/12/2020 08:31:31	0,00	24,39	24,44	24,49	0	0	+30
          	22/12/2020 08:32:28	0,00	24,65	24,66	24,61	0	0	+30
          	22/12/2020 08:33:11	0,00	24,51	24,49	24,41	0	0	+30
          	22/12/2020 08:33:54	0,00	24,67	24,55	24,65	0	0	+30
          	22/12/2020 08:34:37	0,00	24,60	24,29	24,57	0	0	+30
          	22/12/2020 08:37:18	0,00	24,70	24,62	24,53	0	0	+31
          	22/12/2020 08:38:13	0,00	24,69	24,70	24,54	0	0	+31
          	22/12/2020 08:38:58	0,00	24,23	24,29	24,19	0	0	+31
          	22/12/2020 08:39:37	0,00	24,59	24,68	24,71	0	0	+31
          	22/12/2020 08:40:20	0,00	24,61	24,46	24,60	0	0	+31
          	22/12/2020 08:40:57	0,00	24,66	24,63	24,47	0	0	+31
          	22/12/2020 08:41:31	0,00	24,80	24,70	24,74	0	0	+31
          	22/12/2020 08:42:14	0,00	24,82	24,76	24,72	0	0	+31
