rack,ramo,posicao,num_serie,capacitancia_fabrica_uF
R1,A1,1,923,24.87
R1,A1,2,925,24.88
R1,A2,3,924,24.86
R1,A2,4,919,24.95
R1,A2,5,557,24.57
R1,A2,6,794,24.67
R1,A1,7,833,24.98
R1,A1,8,842,24.56
R1,A1,9,1049,24.94
R1,A1,10,1046,24.94
R1,A2,11,831,24.79
R1,A2,12,838,24.72
R1,A2,13,560,24.57
R1,A2,14,906,24.66
R1,A1,15,644,24.69
R1,A1,16,646,24.69
R1,A1,17,1038,24.64
R1,A1,18,1062,25.02
R1,A2,19,1045,24.97
R1,A2,20,1087,24.82
R1,A2,21,640,24.69
R1,A2,22,643,24.69
R1,A1,23,634,24.82
R1,A1,24,1078,24.94
R1,A1,25,631,24.77
R1,A1,26,637,24.69
R1,A2,27,636,24.55
R1,A2,28,639,24.69
R1,A2,29,630,24.92
R1,A2,30,635,24.63
R1,A1,31,633,24.87
R1,A1,32,632,24.69
R1,B2,89,926,24.65
R1,B2,90,889,24.85
R1,B1,91,649,24.61
R1,B1,92,905,24.75
R1,B1,93,893,24.81
R1,B1,94,895,24.75
R1,B2,95,890,24.94
R1,B2,96,888,24.84
R1,B2,97,558,24.57
R1,B2,98,884,24.7
R1,B1,99,894,24.84
R1,B1,100,896,24.72
R1,B1,101,882,24.7
R1,B1,102,881,24.7
R1,B2,103,878,24.7
R1,B2,104,885,24.7
R1,B2,105,1103,24.45
R1,B2,106,1010,24.68
R1,B1,107,886,24.7
R1,B1,108,880,24.7
R1,B1,109,1101,24.76
R1,B1,110,1106,24.72
R1,B2,111,1107,24.73
R1,B2,112,1109,24.79
R1,B2,113,1104,24.83
R1,B2,114,1102,24.77
R1,B1,115,1108,24.72
R1,B1,116,1100,24.75
R1,B1,117,1089,24.82
R1,B1,118,1070,24.85
R1,B2,119,1073,24.93
R1,B2,120,1076,24.9
R2,A3,33,1068,24.82
R2,A3,34,1067,24.85
R2,A4,35,563,24.48
R2,A4,36,1048,24.86
R2,A4,37,910,24.66
R2,A4,38,943,24.73
R2,A3,39,1044,24.92
R2,A3,40,1047,24.89
R2,A3,41,934,24.74
R2,A3,42,935,24.79
R2,A4,43,931,24.84
R2,A4,44,930,24.83
R2,A4,45,1085,24.82
R2,A4,46,648,24.37
R2,A3,47,642,24.69
R2,A3,48,936,24.73
R2,A3,49,1088,24.82
R2,A3,50,1082,24.79
R2,A4,51,562,24.5
R2,A4,52,1064,25.02
R2,A4,53,1063,25.02
R2,A4,54,1079,24.89
R2,A3,55,1060,25.02
R2,A3,56,1066,24.92
R2,A3,57,647,24.69
R2,A3,58,1105,24.76
R2,A4,59,1114,24.83
R2,A4,60,1072,24.85
R2,B4,61,1069,24.81
R2,B4,62,1040,24.79
R2,B3,63,1099,24.78
R2,B3,64,887,24.7
R2,B3,65,1030,24.61
R2,B3,66,1034,24.61
R2,B4,67,1083,24.86
R2,B4,68,1086,24.82
R2,B4,69,1036,24.61
R2,B4,70,1081,24.83
R2,B3,71,1039,24.66
R2,B3,72,1090,24.82
R2,B3,73,1098,24.73
R2,B3,74,1093,24.82
R2,B4,75,1095,24.68
R2,B4,76,1097,24.81
R2,B4,77,1096,24.73
R2,B4,78,1091,24.82
R2,B3,79,967,24.81
R2,B3,80,968,24.81
R2,B3,81,1011,24.92
R2,B3,82,1012,24.83
R2,B4,83,994,24.81
R2,B4,84,991,24.67
R2,B4,85,1007,24.78
R2,B4,86,993,24.75
R2,B3,87,1001,24.81
R2,B3,88,641,24.69
